Row Labels,Sum of votes
00.37.14,719
00.37.15,471
00.37.16,906
00.37.17,688
00.37.18,574
00.37.19,298
00.37.20,465
00.37.21,818
00.37.22,1116
00.37.23,553
00.37.24,633
00.37.25,795
00.37.26,208
00.37.27,835
00.37.28,521
00.38.01,1135
00.38.02,766
00.38.03,1068
00.38.04,634
00.38.05,690
00.38.06,1041
00.38.07,530
00.38.08,525
00.38.09,446
00.38.10,273
00.38.11,212
00.38.12,998
00.38.13,274
00.38.14,540
00.38.15,505
00.38.16,951
00.39.01,1014
00.39.02,204
00.39.03,312
00.39.04,636
00.39.05,63
00.39.06,66
00.39.07,217
00.39.08,351
00.39.09,352
00.39.10,254
00.39.11,141
00.39.12,216
00.39.13,102
00.39.14,97
00.39.15,285
00.39.16,346
00.39.17,145
00.39.18,304
00.39.19,221
00.39.20,383
00.39.21,138
00.39.22,195
00.39.23,1039
00.40.01,1327
00.40.02,918
00.40.03,600
00.40.04,190
00.40.05,199
00.40.06,123
00.40.07,312
00.40.08,286
00.40.09,197
00.40.10,330
00.40.11,280
00.40.12,261
00.40.13,212
00.40.14,425
00.40.15,583
00.40.16,221
00.40.17,221
00.40.18,190
00.40.19,176
00.40.20,80
00.40.21,911
00.40.22,478
00.40.23,242
00.40.24,196
00.40.25,198
00.40.26,269
00.40.27,267
00.40.28,409
00.40.29,336
00.40.30,61
00.40.31,826
00.40.32,546
00.40.33,351
00.40.34,439
00.40.35,97
00.40.36,376
00.40.37,33
00.40.38,293
00.40.39,186
00.40.40,169
00.40.41,164
00.40.42,468
00.40.43,77
00.40.44,61
00.40.45,902
00.40.46,247
00.40.47,249
00.40.48,135
00.40.49,82
00.40.50,254
00.40.51,358
00.40.52,403
00.40.53,92
00.40.54,48
00.40.55,340
00.40.56,181
00.40.57,220
00.40.58,369
00.40.59,384
00.40.60,461
00.40.61,278
00.40.62,1129
